date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:47:32	150657/150657	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:36%20GMT	https://twitter-trends.iamrohit.in/ukraine	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/ukraine.html	(from https://twitter-trends.iamrohit.in/)
11:47:32	150738/150738	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:36%20GMT	https://twitter-trends.iamrohit.in/united-arab-emirates	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/united-arab-emirates.html	(from https://twitter-trends.iamrohit.in/)
11:47:33	148507/148507	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:36%20GMT	https://twitter-trends.iamrohit.in/united-kingdom	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/united-kingdom.html	(from https://twitter-trends.iamrohit.in/)
11:47:33	148280/148280	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:37%20GMT	https://twitter-trends.iamrohit.in/united-states	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/united-states.html	(from https://twitter-trends.iamrohit.in/)
11:47:34	149403/149403	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:37%20GMT	https://twitter-trends.iamrohit.in/venezuela	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/venezuela.html	(from https://twitter-trends.iamrohit.in/)
11:47:34	148289/148289	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:38%20GMT	https://twitter-trends.iamrohit.in/vietnam	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/vietnam.html	(from https://twitter-trends.iamrohit.in/)
11:47:35	10665/10665	---M-Z	200	added ('OK')	application/javascript	etag:%2229a9-5a616af27e360-gzip%22	https://twitter-trends.iamrohit.in/clipboard.min.js	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/clipboard.min.js	(from https://twitter-trends.iamrohit.in/)
11:47:35	3030/3030	---MCZ	200	added ('OK')	application/javascript	etag:W/%221c210a2-1622-54b4c77428880-gzip%22	https://lab.iamrohit.in/demo/tb2excel/jquery.table2excel.js	C:/My%20Web%20Sites/trends/lab.iamrohit.in/demo/tb2excel/jquery.table2excel.js	(from https://twitter-trends.iamrohit.in/)
11:47:36	149552/149552	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:39%20GMT	https://twitter-trends.iamrohit.in/algeria/algiers	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/algeria/algiers.html	(from https://twitter-trends.iamrohit.in/)
11:47:37	148464/148464	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:40%20GMT	https://twitter-trends.iamrohit.in/argentina/mendoza	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/argentina/mendoza.html	(from https://twitter-trends.iamrohit.in/)
